Date,Time,Address,Players,Max Players,Version
2021-02-08,09:07:16.037361,51.79.37.206:2303,59,99,2.00.146773
2021-02-08,09:12:17.512501,51.79.37.206:2303,62,99,2.00.146773
2021-02-08,09:17:19.238934,51.79.37.206:2303,62,99,2.00.146773
2021-02-08,09:22:20.694345,51.79.37.206:2303,63,99,2.00.146773
2021-02-08,09:27:21.639978,51.79.37.206:2303,65,99,2.00.146773
2021-02-08,09:32:22.433099,51.79.37.206:2303,65,99,2.00.146773
2021-02-08,09:37:23.337374,51.79.37.206:2303,65,99,2.00.146773
2021-02-08,09:42:24.777613,51.79.37.206:2303,67,99,2.00.146773
2021-02-08,09:47:25.129520,51.79.37.206:2303,52,99,2.00.146773
2021-02-08,09:52:26.969443,51.79.37.206:2303,49,99,2.00.146773
2021-02-08,09:57:28.000829,51.79.37.206:2303,45,99,2.00.146773
2021-02-08,10:02:30.750601,51.79.37.206:2303,46,99,2.00.146773
2021-02-08,10:07:35.787810,51.79.37.206:2303,44,99,2.00.146773
2021-02-08,10:12:37.812289,51.79.37.206:2303,45,99,2.00.146773
2021-02-08,10:17:39.191813,51.79.37.206:2303,44,99,2.00.146773
2021-02-08,10:22:40.611557,51.79.37.206:2303,43,99,2.00.146773
2021-02-08,10:27:42.058066,51.79.37.206:2303,45,99,2.00.146773
2021-02-08,10:32:43.989427,51.79.37.206:2303,46,99,2.00.146773
2021-02-08,10:37:45.813758,51.79.37.206:2303,50,99,2.00.146773
2021-02-08,10:42:47.697594,51.79.37.206:2303,54,99,2.00.146773
2021-02-08,10:47:48.950603,51.79.37.206:2303,51,99,2.00.146773
2021-02-08,10:52:50.997148,51.79.37.206:2303,33,99,2.00.146773
2021-02-08,10:57:53.390098,51.79.37.206:2303,29,99,2.00.146773
2021-02-08,11:08:19.538344,51.79.37.206:2303,33,99,2.00.146773
2021-02-08,11:13:21.221008,51.79.37.206:2303,32,99,2.00.146773
2021-02-08,11:18:22.164062,51.79.37.206:2303,34,99,2.00.146773
2021-02-08,11:23:23.987537,51.79.37.206:2303,36,99,2.00.146773
2021-02-08,11:28:25.687161,51.79.37.206:2303,37,99,2.00.146773
2021-02-08,11:33:27.272036,51.79.37.206:2303,39,99,2.00.146773
2021-02-08,11:38:28.703835,51.79.37.206:2303,40,99,2.00.146773
2021-02-08,11:43:29.904588,51.79.37.206:2303,41,99,2.00.146773
2021-02-08,11:48:30.885212,51.79.37.206:2303,28,99,2.00.146773
2021-02-08,11:53:31.804282,51.79.37.206:2303,27,99,2.00.146773
2021-02-08,11:58:32.712775,51.79.37.206:2303,27,99,2.00.146773
2021-02-08,12:03:33.584153,51.79.37.206:2303,25,99,2.00.146773
2021-02-08,12:08:34.113254,51.79.37.206:2303,27,99,2.00.146773
2021-02-08,12:13:35.499969,51.79.37.206:2303,26,99,2.00.146773
2021-02-08,12:18:36.357157,51.79.37.206:2303,28,99,2.00.146773
2021-02-08,12:23:38.118052,51.79.37.206:2303,30,99,2.00.146773
2021-02-08,12:28:40.159813,51.79.37.206:2303,31,99,2.00.146773
2021-02-08,12:33:42.044629,51.79.37.206:2303,34,99,2.00.146773
2021-02-08,12:38:43.937299,51.79.37.206:2303,35,99,2.00.146773
2021-02-08,12:43:46.021457,51.79.37.206:2303,35,99,2.00.146773
2021-02-08,12:48:48.263524,51.79.37.206:2303,35,99,2.00.146773
2021-02-08,12:53:50.069285,51.79.37.206:2303,36,99,2.00.146773
2021-02-08,12:58:52.804869,51.79.37.206:2303,36,99,2.00.146773
2021-02-08,13:03:54.685552,51.79.37.206:2303,30,99,2.00.146773
2021-02-08,13:08:55.447410,51.79.37.206:2303,32,99,2.00.146773
2021-02-08,13:13:56.534432,51.79.37.206:2303,31,99,2.00.146773
2021-02-08,13:18:57.817130,51.79.37.206:2303,31,99,2.00.146773
2021-02-08,13:23:58.552878,51.79.37.206:2303,32,99,2.00.146773
2021-02-08,13:28:59.327144,51.79.37.206:2303,32,99,2.00.146773
2021-02-08,13:34:00.592950,51.79.37.206:2303,31,99,2.00.146773
2021-02-08,13:39:01.361279,51.79.37.206:2303,30,99,2.00.146773
2021-02-08,13:44:02.377135,51.79.37.206:2303,31,99,2.00.146773
2021-02-08,13:49:03.555612,51.79.37.206:2303,33,99,2.00.146773
2021-02-08,13:54:05.538364,51.79.37.206:2303,33,99,2.00.146773
2021-02-08,13:59:06.729587,51.79.37.206:2303,30,99,2.00.146773
2021-02-08,14:04:07.511462,51.79.37.206:2303,27,99,2.00.146773
2021-02-08,14:09:08.955657,51.79.37.206:2303,27,99,2.00.146773
2021-02-08,14:14:09.770814,51.79.37.206:2303,22,99,2.00.146773
2021-02-08,14:19:10.625341,51.79.37.206:2303,21,99,2.00.146773
2021-02-08,14:24:11.318886,51.79.37.206:2303,22,99,2.00.146773
2021-02-08,14:29:12.339573,51.79.37.206:2303,21,99,2.00.146773
2021-02-08,14:34:13.684188,51.79.37.206:2303,22,99,2.00.146773
2021-02-08,14:39:14.349600,51.79.37.206:2303,27,99,2.00.146773
2021-02-08,14:44:15.198583,51.79.37.206:2303,28,99,2.00.146773
2021-02-08,14:49:16.449754,51.79.37.206:2303,28,99,2.00.146773
2021-02-08,14:54:17.494195,51.79.37.206:2303,25,99,2.00.146773
2021-02-08,14:59:18.206409,51.79.37.206:2303,28,99,2.00.146773
2021-02-08,15:04:19.806725,51.79.37.206:2303,34,99,2.00.146773
2021-02-08,15:09:21.108197,51.79.37.206:2303,36,99,2.00.146773
2021-02-08,15:14:23.484246,51.79.37.206:2303,39,99,2.00.146773
2021-02-08,15:19:24.816139,51.79.37.206:2303,41,99,2.00.146773
